year,transect,0,1,2,3,4,5,6
2005,I2-1,1,1,0,0,0,0,0
2005,I2-2,1,1,0,0,0,0,0
2005,I2-3,1,1,0,0,0,0,0
2005,I2-4,1,1,0,0,0,0,0
2005,I2-5,1,1,0,0,0,0,0
2005,I2-6,1,1,0,0,0,0,0
2005,I5-1,1,1,0,0,0,0,0
2005,I5-2,1,1,0,0,0,0,0
2005,I5-3,1,1,0,0,0,0,0
2005,I5-4,1,1,0,0,0,0,0
2005,I5-5,1,1,0,0,0,0,0
2005,I8-1,1,1,0,0,0,0,0
2005,I8-2,1,1,0,0,0,0,0
2005,I8-3,1,1,0,0,0,0,0
2005,I8-4,1,1,0,0,0,0,0
2005,I6-1,1,1,0,0,0,0,0
2005,I6-2,1,1,0,0,0,0,0
2005,I6-3,1,1,0,0,0,0,0
2005,I6-4,1,1,0,0,0,0,0
2005,I7-1,1,1,1,1,0,0,0
2005,I7-2,1,1,1,1,0,0,0
2005,I7-3,1,1,1,1,0,0,0
2005,I7-4,1,1,1,1,0,0,0
2006,I2-1,0,1,0,0,0,0,0
2006,I2-2,0,1,0,0,0,0,0
2006,I2-3,0,1,0,0,0,0,0
2006,I2-4,0,1,0,0,0,0,0
2006,I2-5,0,1,0,0,0,0,0
2006,I2-6,0,1,0,0,0,0,0
2006,I5-1,0,1,0,0,0,0,0
2006,I5-2,0,1,0,0,0,0,0
2006,I5-3,0,1,0,0,0,0,0
2006,I5-4,0,1,0,0,0,0,0
2006,I5-5,0,1,0,0,0,0,0
2006,I8-1,0,1,0,0,0,0,0
2006,I8-2,0,1,0,0,0,0,0
2006,I8-3,0,1,0,0,0,0,0
2006,I8-4,0,1,0,0,0,0,0
2006,I6-1,1,1,0,0,0,0,0
2006,I6-2,1,1,0,0,0,0,0
2006,I6-3,1,1,0,0,0,0,0
2006,I6-4,1,1,0,0,0,0,0
2006,I7-1,1,1,1,1,0,0,0
2006,I7-2,1,1,1,1,0,0,0
2006,I7-3,1,1,1,1,0,0,0
2006,I7-4,1,1,1,1,0,0,0
2007,I2-1,0,0,1,1,1,1,1
2007,I2-2,0,0,1,1,1,1,1
2007,I2-3,0,0,1,1,1,1,1
2007,I2-4,0,0,1,1,1,1,1
2007,I5-1,0,1,1,1,1,1,1
2007,I5-2,0,1,1,1,1,1,1
2007,I5-3,0,1,1,1,1,1,1
2007,I5-4,0,1,1,1,1,1,1
2007,I5-5,0,1,1,1,1,1,1
2007,I8-1,0,0,1,1,1,1,1
2007,I8-2,0,0,1,1,1,1,1
2007,I8-3,1,1,1,1,1,1,1
2007,I8-4,1,1,1,1,1,1,1
2007,I6-1,0,0,1,1,1,1,1
2007,I6-2,0,0,1,1,1,1,1
2007,I6-3,0,0,1,1,1,1,1
