LFA,sub.LFA,year,size
23,A,2021,77
23,B,2021,77
23,C,2021,77
23,D,2021,77
24,NA,2021,74
25,NA,2021,77
26A,1,2021,74
26A,2,2021,76
26A,3,2021,76
26B,North,2021,82.5
26B,South,2021,82.5
23,A,2020,77
23,B,2020,77
23,C,2020,77
23,D,2020,77
24,NA,2020,74
25,NA,2020,77
26A,1,2020,74
26A,2,2020,76
26A,3,2020,76
26B,North,2020,82.5
26B,South,2020,82.5
23,A,2019,77
23,B,2019,77
23,C,2019,77
23,D,2019,77
24,NA,2019,73
25,NA,2019,77
26A,1,2019,73
26A,2,2019,76
26A,3,2019,76
26B,North,2019,82.5
26B,South,2019,82.5
23,A,2018,77
23,B,2018,77
23,C,2018,77
23,D,2018,77
24,NA,2018,73
25,NA,2018,77
26A,1,2018,73
26A,2,2018,76
26A,3,2018,76
26B,North,2018,82.5
26B,South,2018,81.7
23,A,2017,76
23,B,2017,76
23,C,2017,76
23,D,2017,76
24,NA,2017,72
25,NA,2017,75
26A,1,2017,72
26A,2,2017,76
26A,3,2017,76
26B,North,2017,82.5
26B,South,2017,81
23,A,2016,76
23,B,2016,76
23,C,2016,76
23,D,2016,75
24,NA,2016,72
25,NA,2016,73
26A,1,2016,72
26A,2,2016,76
26A,3,2016,76
26B,North,2016,82.5
26B,South,2016,81
23,A,2015,76
23,B,2015,76
23,C,2015,75
23,D,2015,74
24,NA,2015,72
25,NA,2015,72
26A,1,2015,72
26A,2,2015,75
26A,3,2015,76
26B,North,2015,82.5
26B,South,2015,80
23,A,2014,76
23,B,2014,76
23,C,2014,74
23,D,2014,73
24,NA,2014,72
25,NA,2014,72
26A,1,2014,72
26A,2,2014,73
26A,3,2014,76
26B,North,2014,82.5
26B,South,2014,79
23,A,2013,76
23,B,2013,76
23,C,2013,73
23,D,2013,72
24,NA,2013,72
25,NA,2013,72
26A,1,2013,72
26A,2,2013,73
26A,3,2013,76
26B,North,2013,81
26B,South,2013,79
23,A,2012,75
23,B,2012,75
23,C,2012,72
23,D,2012,71
24,NA,2012,71
25,NA,2012,71
26A,1,2012,71
26A,2,2012,73
26A,3,2012,76
26B,North,2012,81
26B,South,2012,79
23,A,2011,74
23,B,2011,74
23,C,2011,72
23,D,2011,71
24,NA,2011,71
25,NA,2011,71
26A,1,2011,71
26A,2,2011,73
26A,3,2011,76
26B,North,2011,80
26B,South,2011,79
23,A,2010,73
23,B,2010,73
23,C,2010,72
23,D,2010,70
24,NA,2010,70
25,NA,2010,70
26A,1,2010,70
26A,2,2010,73
26A,3,2010,76
26B,North,2010,79
26B,South,2010,77
23,A,2009,72
23,B,2009,72
23,C,2009,72
23,D,2009,70
24,NA,2009,70
25,NA,2009,70
26A,1,2009,70
26A,2,2009,73
26A,3,2009,76
26B,North,2009,79
26B,South,2009,76
23,A,2008,71
23,B,2008,71
23,C,2008,71
23,D,2008,70
24,NA,2008,70
25,NA,2008,70
26A,1,2008,70
26A,2,2008,73
26A,3,2008,76
26B,North,2008,77
26B,South,2008,76
23,NA,2007,70
24,NA,2007,70
25,NA,2007,70
26A,1,2007,70
26A,2,2007,71.5
26A,3,2007,76
26B,NA,2007,76
23,NA,2006,70
24,NA,2006,70
25,NA,2006,70
26A,1,2006,70
26A,2,2006,71.5
26A,3,2006,76
26B,NA,2006,75
23,NA,2005,70
24,NA,2005,70
25,NA,2005,70
26A,1,2005,70
26A,2,2005,71.5
26A,3,2005,73
26B,NA,2005,74
23,NA,2004,70
24,NA,2004,69.5
25,NA,2004,70
26A,NA,2004,69.5
26B,NA,2004,73
23,NA,2003,68.5
24,NA,2003,68.5
25,NA,2003,68.5
26A,NA,2003,68.5
26B,NA,2003,72
23,NA,2002,67.5
24,NA,2002,67.5
25,NA,2002,67.5
26A,NA,2002,67.5
26B,NA,2002,70
23,NA,2001,67.5
24,NA,2001,67.5
25,NA,2001,67.5
26A,NA,2001,67.5
26B,NA,2001,70
23,NA,2000,67.5
24,NA,2000,66.7
25,NA,2000,67.5
26A,NA,2000,66.7
26B,NA,2000,70
23,NA,1999,67.5
24,NA,1999,65.9
25,NA,1999,67.5
26A,NA,1999,65.9
26B,NA,1999,70
23,NA,1998,67.5
24,NA,1998,65.1
25,NA,1998,67.5
26A,NA,1998,65.9
26B,NA,1998,70
23,NA,1997,66.7
24,NA,1997,63.5
25,NA,1997,66.7
26A,NA,1997,65.1
26B,NA,1997,70
23,NA,1996,66.7
24,NA,1996,63.5
25,NA,1996,66.7
26A,NA,1996,65.1
26B,NA,1996,70
23,NA,1995,66.7
24,NA,1995,63.5
25,NA,1995,66.7
26A,NA,1995,65.1
26B,NA,1995,70
23,NA,1994,66.7
24,NA,1994,63.5
25,NA,1994,66.7
26A,NA,1994,65.1
26B,NA,1994,70
23,NA,1993,66.7
24,NA,1993,63.5
25,NA,1993,66.7
26A,NA,1993,65.1
26B,NA,1993,70
23,NA,1992,66.7
24,NA,1992,63.5
25,NA,1992,66.7
26A,NA,1992,65.1
26B,NA,1992,70
23,NA,1991,66.7
24,NA,1991,63.5
25,NA,1991,66.7
26A,NA,1991,65.1
26B,NA,1991,70
23,NA,1990,65.1
24,NA,1990,63.5
25,NA,1990,65.1
26A,NA,1990,63.5
26B,NA,1990,70
23,NA,1989,63.5
24,NA,1989,63.5
25,NA,1989,63.5
26A,NA,1989,63.5
26B,NA,1989,68.3
23,NA,1988,63.5
24,NA,1988,63.5
25,NA,1988,63.5
26A,NA,1988,63.5
26B,NA,1988,66.7
23,NA,1987,63.5
24,NA,1987,63.5
25,NA,1987,63.5
26A,NA,1987,63.5
26B,NA,1987,65.1
23,NA,1986,63.5
24,NA,1986,63.5
25,NA,1986,63.5
26A,NA,1986,63.5
26B,NA,1986,63.5
